Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,17.129999,17.285000,16.875000,16.952499,7.599874,3458400
2008-01-03,17.129999,17.142500,16.607500,16.645000,7.462019,3040000
2008-01-04,16.535000,16.552500,15.920000,15.947500,7.149327,3922400
2008-01-07,16.012501,16.687500,15.935000,16.632500,7.456413,5799600
2008-01-08,16.660000,16.660000,16.100000,16.110001,7.222178,3982800
2008-01-09,16.500000,17.469999,16.500000,17.469999,7.831869,9324400
2008-01-10,17.372499,17.862499,16.910000,17.680000,7.926014,6364800
2008-01-11,17.645000,18.270000,17.330000,17.837500,7.996622,6916400
2008-01-14,17.945000,18.097500,17.147499,17.389999,7.796003,5042400
2008-01-15,17.129999,17.187500,16.732500,16.982500,7.613320,6087600
2008-01-16,16.857500,17.137501,16.767500,16.982500,7.613320,8421200
2008-01-17,16.977501,17.014999,16.612499,16.655001,7.466505,3909600
2008-01-18,17.155001,17.889999,16.637501,17.000000,7.621168,4712800
2008-01-22,16.852501,18.337500,16.750000,18.139999,8.132235,7395200
2008-01-23,17.645000,18.917500,17.452499,18.887501,8.467343,7834000
2008-01-24,18.892500,19.102501,18.535000,18.642500,8.357507,5419600
2008-01-25,18.527500,19.012501,18.402500,18.472500,8.281297,4929600
2008-01-28,18.407499,18.865000,18.254999,18.712500,8.388890,4357600
2008-01-29,18.707500,19.020000,18.240000,18.987499,8.512172,2780000
2008-01-30,18.980000,19.375000,18.830000,18.875000,8.461738,3056400
2008-01-31,18.850000,19.572500,18.375000,19.325001,8.663476,3478800
2008-02-01,19.434999,19.959999,19.235001,19.942499,8.940302,3014400
2008-02-04,19.990000,19.990000,19.049999,19.067499,8.548035,3606800
2008-02-05,19.032499,19.137501,18.437500,18.437500,8.265606,3594000
2008-02-06,19.075001,19.545000,18.875000,19.367500,8.682527,7275600
2008-02-07,19.222500,20.270000,19.222500,19.985001,8.959356,7518400
2008-02-08,19.840000,20.107500,19.605000,19.934999,8.936940,5872400
2008-02-11,19.837500,20.355000,19.687500,20.342501,9.119622,4770400
2008-02-12,20.264999,20.597500,20.222500,20.459999,9.172297,3472400
2008-02-13,20.367500,20.822500,20.332500,20.514999,9.196957,4791200
2008-02-14,20.477501,20.477501,20.070000,20.120001,9.019877,3457200
2008-02-15,20.082500,20.087500,19.677500,19.802500,8.877538,4104800
2008-02-19,20.070000,20.387501,19.512501,19.639999,8.804693,3455200
2008-02-20,19.367500,20.020000,19.330000,19.947500,8.942543,4172800
2008-02-21,19.990000,20.125000,19.570000,19.627501,8.799087,2280400
2008-02-22,19.667500,19.719999,19.272499,19.597500,8.785635,3174000
2008-02-25,19.594999,19.742500,19.432501,19.625000,8.797967,4904800
2008-02-26,19.567499,20.065001,19.537500,19.992500,8.962718,5928400
2008-02-27,19.832500,20.022499,19.792500,19.887501,8.915647,5838400
2008-02-28,19.725000,19.879999,19.480000,19.670000,8.818140,2475600
2008-02-29,19.575001,19.575001,18.902500,19.010000,8.522262,2970400
2008-03-03,18.917500,19.077499,18.752501,18.987499,8.512172,2752000
2008-03-04,18.775000,19.245001,18.752501,19.155001,8.587260,3765600
2008-03-05,19.200001,19.495001,19.030001,19.297501,8.651148,4327200
2008-03-06,19.087500,19.209999,18.502501,18.555000,8.576040,4129200
2008-03-07,18.477501,18.852501,18.417500,18.635000,8.613013,3638000
2008-03-10,18.500000,18.787500,18.030001,18.052500,8.343787,2926800
2008-03-11,18.575001,18.652500,18.067499,18.652500,8.621105,3168800
2008-03-12,19.375000,19.657499,19.004999,19.504999,9.015122,5023200
2008-03-13,19.180000,19.525000,18.902500,19.392500,8.963128,5132000
2008-03-14,19.392500,19.432501,18.762501,19.067499,8.812918,2881200
2008-03-17,18.650000,19.322500,18.547501,19.102501,8.829092,3812400
2008-03-18,19.190001,19.535000,19.087500,19.527500,9.025525,2531600
2008-03-19,19.587500,19.775000,19.157499,19.157499,8.854511,3135600
2008-03-20,19.180000,19.742500,19.077499,19.730000,9.119119,4809600
2008-03-24,19.715000,19.924999,19.637501,19.782499,9.143384,5259600
2008-03-25,19.750000,19.885000,19.495001,19.782499,9.143384,5138400
2008-03-26,19.629999,19.785000,19.482500,19.707500,9.108722,2590000
2008-03-27,19.750000,19.877501,19.547501,19.622499,9.069434,5888000
2008-03-28,19.549999,19.580000,18.785000,18.942499,8.755137,2768800
2008-03-31,18.812500,19.487499,18.747499,19.377501,8.956194,3255200
2008-04-01,19.450001,19.820000,19.450001,19.785000,9.144542,5166800
