Date,Open,High,Low,Close,Adj Close,Volume
2017-01-01,53.630001,54.230000,52.349998,53.180000,49.846119,13828200
2017-01-08,53.200001,53.849998,51.080002,51.330002,48.112099,15752500
2017-01-15,51.580002,52.740002,50.490002,51.849998,48.599491,18862200
2017-01-22,51.770000,53.180000,50.480000,50.770000,47.587204,17116700
2017-01-29,50.740002,51.500000,49.029999,49.560001,46.453060,27887000
2017-02-05,49.459999,50.700001,48.049999,50.320000,47.165417,22334600
2017-02-12,50.529999,52.869999,49.930000,52.680000,49.377457,29884500
2017-02-19,52.840000,53.950001,52.259998,53.060001,49.733646,20438000
2017-02-26,53.060001,53.779999,52.139999,52.590000,49.293106,19595000
2017-03-05,52.619999,53.200001,52.200001,52.930000,49.611794,12739900
2017-03-12,53.099998,54.520000,52.680000,53.950001,50.974720,21539300
2017-03-19,54.029999,54.310001,52.279999,54.060001,51.078648,22552600
2017-03-26,53.639999,56.270000,53.529999,54.970001,51.938473,22558500
2017-04-02,55.160000,55.509998,53.619999,54.200001,51.210926,16185500
2017-04-09,54.389999,55.500000,54.369999,54.799999,51.777836,13401600
2017-04-16,54.990002,56.590000,54.730000,55.849998,52.769932,13801400
2017-04-23,56.439999,58.009998,54.500000,54.630001,51.617214,24168900
2017-04-30,54.610001,54.730000,52.810001,54.470001,51.466038,21317400
2017-05-07,54.480000,55.790001,53.700001,54.000000,51.021957,16755700
2017-05-14,54.099998,54.290001,51.220001,52.400002,49.510201,15587400
2017-05-21,52.529999,53.990002,52.349998,53.709999,50.747952,12963400
2017-05-28,53.619999,54.580002,53.279999,54.340000,51.343201,11824500
2017-06-04,54.419998,55.360001,53.270000,55.330002,52.278610,11938400
2017-06-11,55.360001,56.730000,55.119999,56.330002,53.642860,15173700
2017-06-18,56.470001,56.930000,54.509998,56.430000,53.738091,15142600
2017-06-25,56.660000,58.180000,56.330002,57.599998,54.852276,9639600
2017-07-02,57.430000,58.180000,55.849998,56.700001,53.995213,7625900
2017-07-09,56.549999,56.720001,55.529999,56.020000,53.347649,11844900
2017-07-16,55.869999,58.779999,55.509998,58.650002,55.852184,17755500
2017-07-23,59.509998,62.090000,57.970001,61.849998,58.899536,14229700
2017-07-30,61.849998,63.730000,61.630001,63.209999,60.194653,10460900
2017-08-06,63.220001,63.959999,60.009998,61.580002,58.642418,11561300
2017-08-13,62.139999,64.250000,61.930000,62.779999,59.785168,14642800
2017-08-20,62.880001,63.860001,62.480000,63.419998,60.394638,8017000
2017-08-27,63.430000,63.669998,62.380001,63.580002,60.547009,7618000
2017-09-03,63.549999,64.510002,61.900002,62.480000,59.499481,8102100
2017-09-10,62.759998,63.610001,61.790001,62.430000,60.244190,12300600
