Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,29.200001,29.200001,29.200001,29.200001,20.223314,300
2008-01-03,29.750000,29.750000,29.750000,29.750000,20.604239,200
2008-01-04,29.200001,30.350000,29.200001,29.850000,20.673494,12400
2008-01-07,29.850000,29.850000,29.850000,29.850000,20.673494,0
2008-01-08,29.500000,29.950001,29.500000,29.950001,20.742758,5600
2008-01-09,29.750000,29.750000,29.750000,29.750000,20.604239,1200
2008-01-10,29.750000,29.750000,29.750000,29.750000,20.604239,0
2008-01-11,29.750000,29.750000,29.750000,29.750000,20.604239,1200
2008-01-14,29.750000,29.850000,29.650000,29.700001,20.569611,21800
2008-01-15,29.600000,29.600000,29.500000,29.500000,20.431095,600
2008-01-16,29.000000,29.049999,29.000000,29.049999,20.119427,800
2008-01-17,29.049999,29.049999,29.049999,29.049999,20.119427,0
2008-01-18,29.049999,29.400000,28.750000,29.400000,20.361835,2300
2008-01-22,29.250000,29.250000,29.250000,29.250000,20.257954,100
2008-01-23,29.250000,29.250000,29.250000,29.250000,20.257954,0
2008-01-24,29.250000,29.250000,29.250000,29.250000,20.257954,0
2008-01-25,29.250000,29.400000,29.250000,29.350000,20.327204,53100
2008-01-28,29.500000,29.500000,29.500000,29.500000,20.431095,6700
2008-01-29,29.400000,29.400000,29.400000,29.400000,20.361835,100
2008-01-30,29.400000,29.400000,29.400000,29.400000,20.361835,0
2008-01-31,29.350000,29.350000,29.350000,29.350000,20.327204,100
2008-02-01,29.350000,29.700001,29.350000,29.700001,20.569611,25600
2008-02-04,29.700001,29.700001,29.700001,29.700001,20.569611,0
2008-02-05,30.000000,30.000000,30.000000,30.000000,20.777384,300
2008-02-06,30.000000,30.000000,30.000000,30.000000,20.777384,0
2008-02-07,30.000000,30.000000,30.000000,30.000000,20.930878,300
2008-02-08,30.000000,30.000000,30.000000,30.000000,20.930878,300
2008-02-11,30.000000,30.000000,30.000000,30.000000,20.930878,0
2008-02-12,30.000000,30.000000,30.000000,30.000000,20.930878,0
2008-02-13,30.000000,30.000000,30.000000,30.000000,20.930878,0
2008-02-14,30.000000,30.000000,29.850000,29.850000,20.826218,3400
2008-02-15,29.850000,29.850000,29.850000,29.850000,20.826218,0
2008-02-19,29.850000,29.850000,29.850000,29.850000,20.826218,0
2008-02-20,29.850000,29.850000,29.850000,29.850000,20.826218,0
2008-02-21,29.500000,29.600000,29.500000,29.500000,20.582026,11500
2008-02-22,29.500000,29.500000,29.500000,29.500000,20.582026,0
2008-02-25,29.500000,29.500000,29.500000,29.500000,20.582026,0
2008-02-26,29.500000,29.500000,29.500000,29.500000,20.582026,0
2008-02-27,29.500000,29.700001,29.500000,29.700001,20.721569,2100
2008-02-28,29.700001,29.700001,29.700001,29.700001,20.721569,0
2008-02-29,29.500000,29.500000,29.500000,29.500000,20.582026,500
2008-03-03,29.500000,30.000000,29.500000,29.500000,20.582026,3300
2008-03-04,29.500000,29.500000,29.500000,29.500000,20.582026,600
2008-03-05,29.500000,29.500000,29.500000,29.500000,20.582026,0
2008-03-06,29.250000,29.250000,29.250000,29.250000,20.407606,500
2008-03-07,29.250000,29.250000,29.250000,29.250000,20.407606,0
2008-03-10,29.500000,29.500000,29.500000,29.500000,20.582026,1200
2008-03-11,30.000000,30.450001,30.000000,30.250000,21.105303,3600
2008-03-12,30.500000,30.500000,30.500000,30.500000,21.279726,500
2008-03-13,30.000000,30.000000,30.000000,30.000000,20.930878,400
2008-03-14,29.500000,29.500000,29.500000,29.500000,20.582026,300
2008-03-17,29.500000,29.500000,29.500000,29.500000,20.582026,1100
2008-03-18,29.500000,30.000000,29.500000,30.000000,20.930878,8400
2008-03-19,29.750000,29.750000,28.500000,28.500000,19.884331,2200
2008-03-20,28.500000,28.500000,28.500000,28.500000,19.884331,0
2008-03-24,28.500000,28.500000,28.500000,28.500000,19.884331,300
2008-03-25,28.500000,28.500000,28.500000,28.500000,19.884331,0
2008-03-26,29.000000,30.000000,29.000000,30.000000,20.930878,2800
